Topic # from LDA,Parent,Child,Child_description,Agreed rating,Min's Original Coherence rating,Key words
23,"Culture, climate and environment",Trauma at home,Struggling home and family experiences of children of high poverty and of color negativey influence their school learning and graduation pathways post pandemic,4,4,"bad, kid, children, home, school, famili, grade, covid-19, hispan, pandem, third, rate, happen, stop, number, class, get, year, somebodi, want "
14,"Culture, climate and environment",Anti-racism,"Talking about whiteness, success, and anti-racism",3,3,"pull, white, child, success, stay, built, job, indic, keep, whole, four, barrier, stori, middl, racial, ago, pretti, feel, understand, day"
None,Curriculum and instruction,Instructional programs,"AP/IB courses, college classes/credits in high school, special education programs, bilingual programs, ethnic studies",,,"Equity, Students, School, District, Policy, Data, Programs, Honors, Course, AP, IB, State, Access, Advanced, Highly Capable, College, Racial, Learning, Services, Practices."
13,Curriculum and instruction,Curriculum development and instructional delivery,"School curriculum development and instructional delivery, specially including cultrually responsive teaching and equitable pedagogical practices that influence students' experience in the classroom",3,3,"onlin, teach, taught, teacher, high, learn, class, middl, scienc, elementari, experi, student, day, next, sit, first, noth, life, school, potenti"
11,"Data, evidence, and accountability","Data access, analysis, reporting, use, quality and transparency","Data collection, access, analysis, and use to help practitioners improve their practices/strategies and to help policymakers (at all level - e.g., school building, district, state legislators) make new policies or refine current policies. This also pertains to data sharing and reporting, as well as data transparency and quality issues. ",4,4,"dashboard, data, inform, assumess, collect, disaggreg, report, websit, access, use, ospi, yes, effect, analysi, tool, togeth, good, stori, wsif, point "
19,"Data, evidence, and accountability","Goals, outcomes, and measures: Tests, standards, graduation requirements","Defining education and school improvement goals and measuring outcomes via tests, learning standards, college readiness, and graduation requirements, and preparation for jobs, as well as linking goals with outcome measures.",3.5,3,"kind, cours,  goal, access, outcom, sure, citi, drive, kid, take, pathway, possibl, easi, deeper, make, job, report, honor, pasco,  land"
26,"Data, evidence, and accountability",Tests and inconsist standards for college readiness and students' success,"Tests are inconsistent standards for what the education system should produce, nor are good measures of college readiness. ",3.5,4," test, standard, score, tribal, take, math, assumess, let, measur, rate, indic, enrol, consult, colleg, scienc, differ, whether, nativ, graduat, ethnic "
None,"Data, evidence, and accountability",Accountability system,"System used to hold an individual, group or orgnaization responsible for doing something that they are supposed to be doing according to a law, job description or other agreement. Rewards or sanctions are associated with performance.",,,"accountability, system, policy, district, outcomes, student, compliance, state, school, data, community, work, focus, measure, governance, metrics, assessment, scores, education, partnership"
None,"Data, evidence, and accountability",Data capacity,"Related to capacity of individuals, groups or organizations to process data and information and conduct research of any kind for any purpose",,,"data, resources, state, access, learning, research, organizations, agencies, capacity, digital, analysis, trends, support, universities, questions, information, community, school, finance, equity."
3,"Governance, leadership, and community partnership",Local control and district policies and politics,"District decision making, accountability and compliance, under local control, and district engagement with community and parents",4,4,"budget, school-board, decis, sometim, make, stakehold, member, director, engag, power, superintend, process, polit, chang, allow, piec, toward, along, act, district "
